,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,yellowknife,62.456,-114.3525,6.8,78,90,12.66,CA,1619410536
1,cape town,-33.9258,18.4232,62.01,88,20,6.91,ZA,1619410500
2,saint george,37.1041,-113.5841,70.0,14,1,0.92,US,1619410570
3,busselton,-33.65,115.3333,77.0,48,99,4.0,AU,1619410548
4,hithadhoo,-0.6,73.0833,82.6,67,63,4.47,MV,1619410559
5,solnechnyy,50.7214,136.6319,51.42,32,69,4.74,RU,1619410592
6,boddam,57.4667,-1.7833,41.0,87,100,2.3,GB,1619410607
7,mataura,-46.1927,168.8643,48.0,70,98,20.0,NZ,1619410350
8,camacha,33.0833,-16.3333,62.6,77,40,17.27,PT,1619410608
9,ushuaia,-54.8,-68.3,46.4,76,75,12.66,AR,1619410536
10,waingapu,-9.6567,120.2641,84.85,54,25,12.97,ID,1619410609
11,vaini,-21.2,-175.2,82.4,89,75,4.61,TO,1619410554
12,bluff,-46.6,168.3333,48.0,70,84,20.0,NZ,1619410399
13,bengkulu,-3.8004,102.2655,85.05,67,37,6.8,ID,1619410608
14,sitka,57.0531,-135.33,55.4,50,1,3.44,US,1619410604
15,hobart,-42.8794,147.3294,66.2,45,40,18.41,AU,1619410260
16,gornopravdinsk,60.05,69.9,46.26,65,97,10.74,RU,1619410610
17,castro,-24.7911,-50.0119,55.74,96,80,2.53,BR,1619410342
18,guasdualito,7.2424,-70.7324,77.0,94,43,1.14,VE,1619410610
19,omboue,-1.5746,9.2618,78.48,86,76,3.6,GA,1619410436
20,mehran,33.1222,46.1646,68.0,30,40,4.61,IR,1619410611
21,barrow,71.2906,-156.7887,21.2,79,1,11.5,US,1619410336
22,mar del plata,-38.0023,-57.5575,60.01,88,75,3.44,AR,1619410579
23,tazovskiy,67.4667,78.7,24.12,92,100,13.44,RU,1619410612
24,punta arenas,-53.15,-70.9167,44.6,93,90,5.75,CL,1619410337
25,chuy,-33.6971,-53.4616,58.84,80,55,8.32,UY,1619410552
26,tasiilaq,65.6145,-37.6368,37.4,70,75,17.27,GL,1619410549
27,ponta do sol,32.6667,-17.1,59.0,83,45,5.01,PT,1619410567
28,bubaque,11.2833,-15.8333,77.2,68,22,11.41,GW,1619410613
29,ribeira grande,38.5167,-28.7,59.0,72,20,4.61,PT,1619410541
30,leh,34.1667,77.5833,38.64,30,0,1.66,IN,1619410614
31,kapaa,22.0752,-159.319,75.2,73,40,13.8,US,1619410468
32,vista hermosa,19.5167,-99.2167,68.0,52,75,9.22,MX,1619410614
33,robertsport,6.7533,-11.3686,81.63,79,100,7.36,LR,1619410615
34,saint-augustin,51.226,-58.6502,35.1,81,21,4.32,CA,1619410615
35,champerico,14.3,-91.9167,68.0,95,87,4.18,GT,1619410616
36,ostashkov,57.1467,33.1075,32.43,90,100,8.7,RU,1619410616
37,hermanus,-34.4187,19.2345,60.01,92,1,7.0,ZA,1619410505
38,verkhoyansk,67.5447,133.385,34.38,99,100,4.74,RU,1619410617
39,seguela,7.9611,-6.6731,72.25,85,92,3.65,CI,1619410617
40,port hedland,-20.3167,118.5667,91.4,10,0,13.8,AU,1619410617
41,jalu,29.0331,21.5482,59.02,64,0,7.74,LY,1619410618
42,banfora,10.6333,-4.7667,84.04,52,100,6.55,BF,1619410618
43,dingle,10.9995,122.6711,90.7,50,68,8.12,PH,1619410619
44,martinsburg,39.4562,-77.9639,51.8,46,1,10.36,US,1619410619
45,rikitea,-23.1203,-134.9692,77.88,74,28,4.79,PF,1619410324
46,port alfred,-33.5906,26.891,71.19,44,93,7.58,ZA,1619410491
47,torbay,47.6666,-52.7314,39.99,70,1,5.75,CA,1619410308
48,saskylakh,71.9167,114.0833,14.68,90,100,21.54,RU,1619410334
49,albany,42.6001,-73.9662,44.01,51,54,14.0,US,1619410369
50,nantucket,41.2835,-70.0995,46.4,93,1,16.11,US,1619410398
51,nisia floresta,-6.0911,-35.2086,77.0,88,40,3.44,BR,1619410586
52,turukhansk,65.8167,87.9833,23.09,70,32,3.38,RU,1619410621
53,rajapur,25.3833,81.15,97.03,9,59,7.52,IN,1619410622
54,bredasdorp,-34.5322,20.0403,51.8,93,93,2.3,ZA,1619410568
55,avarua,-21.2078,-159.775,80.6,78,20,5.75,CK,1619410302
56,atuona,-9.8,-139.0333,79.84,77,71,17.81,PF,1619410572
57,salalah,17.0151,54.0924,84.2,70,40,2.3,OM,1619410335
58,oliver,49.1831,-119.5524,50.0,87,100,3.44,CA,1619410349
59,georgetown,5.4112,100.3354,87.8,70,40,2.3,MY,1619410384
60,cookeville,36.1628,-85.5016,52.0,100,1,4.34,US,1619410120
61,fortuna,40.5982,-124.1573,50.0,93,90,2.51,US,1619410557
62,gamovo,57.8652,56.1056,39.2,75,75,17.9,RU,1619410624
63,belmonte,-15.8631,-38.8828,75.2,83,40,3.44,BR,1619410624
64,tuktoyaktuk,69.4541,-133.0374,14.0,79,90,8.05,CA,1619410567
